id,margin,n_labels,goal1_id,goal1_label,goal1_score,goal2_id,goal2_label,goal2_score
1000,0.031397,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.583677,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.55228
1580,0.052056,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.523029,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.470973
1880,0.017648,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.483671,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.466023
2320,0.002197,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.48724,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.485043
2349,0.004479,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.465004,G3_biodiversity_interactions,How different components of biodiversity interact,0.460525
2350,0.00589,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.467546,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.461655
2351,0.000817,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.430289,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.429472
2352,0.016107,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.469198,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.45309
2353,0.001837,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.429053,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.427217
2480,0.005641,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.493286,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.487645
2500,0.008393,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.47075,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.462357
2623,0.019212,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.42887,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.409658
2663,0.012693,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.449105,G3_biodiversity_interactions,How different components of biodiversity interact,0.436411
2740,0.035778,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.420653,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.384875
2741,0.003483,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.390968,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.387485
2742,0.025859,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.43832,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.412461
2760,0.014014,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.441684,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.42767
2847,0.011208,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.454316,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.443108
2880,0.067264,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.632586,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.565322
2905,0.097562,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.481977,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.384416
2920,0.020232,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.397661,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.377429
