id,goal1_id,goal1_label,goal1_score
1000,G3_biodiversity_interactions,How different components of biodiversity interact,0.583677
1580,G3_biodiversity_interactions,How different components of biodiversity interact,0.523029
1880,,,0.0
2320,,,0.0
2349,,,0.0
2350,,,0.0
2351,,,0.0
2352,,,0.0
2353,,,0.0
2480,G3_biodiversity_interactions,How different components of biodiversity interact,0.493286
2500,,,0.0
2623,,,0.0
2663,,,0.0
2740,,,0.0
2741,,,0.0
2742,,,0.0
2760,,,0.0
2847,,,0.0
2880,G3_biodiversity_interactions,How different components of biodiversity interact,0.632586
2905,,,0.0
2920,,,0.0
2925,G3_biodiversity_interactions,How different components of biodiversity interact,0.54597
3020,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.687328
3141,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.534643
3220,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.519069
3360,G3_biodiversity_interactions,How different components of biodiversity interact,0.522537
3540,,,0.0
3541,,,0.0
3542,,,0.0
3543,,,0.0
3544,,,0.0
3545,G3_biodiversity_interactions,How different components of biodiversity interact,0.5022
3546,,,0.0
3547,,,0.0
3701,,,0.0
3702,,,0.0
3705,,,0.0
3706,,,0.0
3707,,,0.0
3708,,,0.0
3709,,,0.0
3901,,,0.0
3921,,,0.0
3923,,,0.0
4000,,,0.0
4001,,,0.0
4002,,,0.0
4140,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.680391
4141,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.625793
4146,G3_biodiversity_interactions,How different components of biodiversity interact,0.531636
4160,,,0.0
4181,G3_biodiversity_interactions,How different components of biodiversity interact,0.549501
4220,,,0.0
4221,,,0.0
4222,,,0.0
4223,,,0.0
4224,,,0.0
4225,,,0.0
4226,,,0.0
4260,G3_biodiversity_interactions,How different components of biodiversity interact,0.572479
4300,G3_biodiversity_interactions,How different components of biodiversity interact,0.537219
4302,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.639192
4341,,,0.0
4360,,,0.0
4361,,,0.0
4420,,,0.0
4442,G3_biodiversity_interactions,How different components of biodiversity interact,0.563724
4444,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.497473
4446,,,0.0
4460,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.527358
4520,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.650136
4521,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.646693
4620,,,0.0
4621,,,0.0
4622,,,0.0
4623,,,0.0
4641,,,0.0
4661,,,0.0
4760,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.527298
4761,G3_biodiversity_interactions,How different components of biodiversity interact,0.521247
4762,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.523066
4781,G3_biodiversity_interactions,How different components of biodiversity interact,0.532926
4823,G3_biodiversity_interactions,How different components of biodiversity interact,0.538382
4840,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.543119
4862,,,0.0
4882,G3_biodiversity_interactions,How different components of biodiversity interact,0.581704
4883,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.625798
4963,G3_biodiversity_interactions,How different components of biodiversity interact,0.622696
4964,G3_biodiversity_interactions,How different components of biodiversity interact,0.621852
4981,G3_biodiversity_interactions,How different components of biodiversity interact,0.61415
5000,,,0.0
5021,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.625491
5060,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.562192
5063,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.659656
5081,,,0.0
5120,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.524815
5160,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.648738
5201,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.550724
5222,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.539266
5241,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.508182
5280,,,0.0
5281,,,0.0
5303,,,0.0
5304,,,0.0
5340,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.544358
5400,G3_biodiversity_interactions,How different components of biodiversity interact,0.498062
5401,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.520727
5421,,,0.0
5460,,,0.0
5461,,,0.0
5480,,,0.0
5500,,,0.0
5502,,,0.0
5503,,,0.0
5520,,,0.0
5522,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.532373
5540,,,0.0
5541,,,0.0
5542,,,0.0
5543,,,0.0
5544,,,0.0
5545,,,0.0
5560,,,0.0
5600,,,0.0
5620,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.581905
5622,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.58481
5641,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.572737
5642,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.584407
5660,,,0.0
5680,,,0.0
5682,,,0.0
5684,,,0.0
5702,,,0.0
5740,,,0.0
5741,,,0.0
5760,,,0.0
5762,,,0.0
5763,,,0.0
5764,,,0.0
5765,,,0.0
