anchor_id,anchor_label,n_docs,top_terms
NUTRITIONAL CONSTRAINTS,NUTRITIONAL CONSTRAINTS,113,food; webs; food webs; soil; prey; trophic; heterogeneity; species; chapter; nutrient; plant; diversity
SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,89,biodiversity; species; diversity; dispersal; ecological; seed; ecosystem; plant; grasslands; research; spatial; interactions
TREE RINGS,TREE RINGS,33,growth; width; tree; trees; age; stem; instead; annual; belongdead; traits; species; individuals
MORPHOLOGICAL ADAPTATION,MORPHOLOGICAL ADAPTATION,29,heterogeneity; trait; traits; ecological; matrix; phylogeny; diversity; land-use; plasticity; phenotypic; variation; stand structure
METAGENOMICS,METAGENOMICS,26,metabarcoding; pollen; dna; resistance; samples; libraries; metagenomic; genes; soil; diversity; genome; bark
SOIL ROOTING DEPTH,SOIL ROOTING DEPTH,24,root; fine root; fine; soil; roots; mycorrhizal; soil structure; wurzeln; decomposition; grünland; x-ray; colonization
CARBON DIOXIDE,CARBON DIOXIDE,19,co2; fixation; rates; soils; kohlenstoff; soil; böden; doc; cwd; temperate; temperate forest; boden
FATTY ACID DESATURASE,FATTY ACID DESATURASE,19,enzyme; deadwood; fungal; wood; activities; enzymes; enzyme activities; decomposition; enzymaktivitäten; active; lignin; fungal community
PLANT CHARACTERISTICS,PLANT CHARACTERISTICS,19,traits; leaf; plant; plant biomass; root; biomass; aboveground; trait; patterns; plant nutrition; soil fertility; temporal variation
POLLINATOR SPECIES,POLLINATOR SPECIES,18,pollen; pollinator; pollination; pollination services; health; pollinators; services; bombus; foraging; flower; bumblebee; behaviour
MUSHROOMS,MUSHROOMS,18,amf; arbuscular; arbuscular mycorrhizal fungi; arbuscular mycorrhizal; mycorrhizal fungi; mycorrhizal; symbiosis; though; fungi; plant; soil sampling; plant roots
SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,17,carbon; som; sulfur; soil; carbon nitrogen; nitrogen; core project soil; project soil; organic carbon; organic; core project; soil organic
HERBIVORY,HERBIVORY,17,herbivory; root; plant; root herbivory; herbivore; insect; herbivores; interaction; plant community; host plant; larvae; plants
REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,16,regeneration; extensification; inventory; restoration; title forest inventory; forest inventory; title forest; altered; shrubs; selective; bestand; natural
LAND USE/LAND COVER CHANGE,LAND USE/LAND COVER CHANGE,16,arten; land-use; litter; life-history; landnutzung; traits; species; decomposition; land; land use; intensity; decomposer
MICROFOSSIL,MICROFOSSIL,16,fungal; fungi; biocrusts; protists; lui; bacterial; soil; bacteria; gaps; microorganisms; bakterien; litter
ENVIRONMENTAL VULNERABILITY INDEX (EVI),ENVIRONMENTAL VULNERABILITY INDEX (EVI),15,landscape; natur; index; cultural; demand; stand; biodiversity; risk; vertical; nature; metrics; complexity
SILVICULTURE,SILVICULTURE,15,silvicultural; smi; silvicultural management; management intensity; management; stands; structural; stand; forests; forest; tree species; forest stands
GEOMAGNETIC FORECASTS,GEOMAGNETIC FORECASTS,14,events; variabilität; mowing; sentinel-2; time series; series; formi; intensity; einfluss; effekt; konnte; abbau
POLLEN,POLLEN,14,pollen; bumblebee; colonies; resource; epichloë; amino; floral; bumblebees; resource use; flowering; endophytes; landnutzung
VEGETATION COVER,VEGETATION COVER,13,vegetation; vegetation records; records; cover species; title vegetation records; title vegetation; vegetation records grassland; records grassland; cover; vegetation composition; richness community; conduct
ORGANIC MATTER,ORGANIC MATTER,13,involved; plant biomass; formation; litter; plant; matter; organic; fungi; annually; plant life; maom; circa
SLR (SATELLITE LASER RANGING),SLR (SATELLITE LASER RANGING),13,satellite; synthetic; resolution; sentinel-2; lui; gps; remote sensing; sensing; images; time series; remote; spatial
METHANE,METHANE,13,methane; fluxes; net; sink; oxidation; soils; atmospheric; gas; soil; reduction; grassland soils; sinks
BREEDING PRODUCTIVITY,BREEDING PRODUCTIVITY,13,species richness; richness; productivity; species; mites; indirect; reproduction; fertilization; performance; direct; old; populationen
SURFACE SOIL MOISTURE,SURFACE SOIL MOISTURE,13,soil; mineral soil; soil title; mineral; crusts; biological soil; sampling campaign; campaign; soil sampling campaign; soil sampling; upper; biological
BERYLLIUM-10 ANALYSIS,BERYLLIUM-10 ANALYSIS,12,alkaloid; instead; ticks; prevalence; concentrations; sulfur; activity; chemical; perenne; infected; festucae; extracts
MASS EXTINCTIONS,MASS EXTINCTIONS,12,land-use; arthropod; biomass; arten; intensity; land-use intensity; diversity; removal; mowing; landnutzung; indirect; fertilization
ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,12,genetic; markers; genetic diversity; seedling; genetic variation; beech; european beech fagus; tested; population; diversity; species; diversity functioning
CYANOBACTERIA (BLUE-GREEN ALGAE),CYANOBACTERIA (BLUE-GREEN ALGAE),11,flower; depth; acidobacteria; flowers; rhizosphere; polar; bacteria; nov; strains; soil; strain; subjected
DATA ANALYSIS AND VISUALIZATION,DATA ANALYSIS AND VISUALIZATION,11,domain; knowledge; system; daten; research; diese; informationen; biodiversity research; visual; systems; scientists; image
BIODIVERSITY FUNCTIONS,BIODIVERSITY FUNCTIONS,11,services; ecosystem; ecosystem services; biological soil; biodiversity; crusts; pollinator; trophic; richness; bee; biological; complementary
MICROBIAL SOURCE TRACKING,MICROBIAL SOURCE TRACKING,11,distances; away; hew10; microbial; title tree; bestimmte; log; labelled; spruce; artificial; microbial community; root
SOIL MOISTURE,SOIL MOISTURE,11,soil; enzyme; enzymaktivitäten; enzyme activities; activities; biota; boden; soil properties; rhizosphere; properties; verteilung; root
SUBMESOCALE EDDIES,SUBMESOCALE EDDIES,11,seed; seed addition; disturbance; sade; seeds; one; added; enzyme; addition; modell; height; addition disturbance experiment
BIODEGRATION,BIODEGRATION,11,decomposition; wood; wood decomposition; decay; litter; dead; dead wood; litter decomposition; belongdead; wood decay; sporocarp; title belongdead
ECOSYSTEM FUNCTIONS,ECOSYSTEM FUNCTIONS,11,multifunctionality; ecosystem; functional; traits; ökosystemfunktionen; states; functions; measures; ecosystem functions; ecosystem services; services; rare species
SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,11,soil; vip plots; vip; respiration; title soil; soil respiration; vip plots abstract; fields; campaign; coordinated; schorfheide-chorin hainich-dün; soil sampling campaign
DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),10,digital; elevation; slope; aspect; landscape; biodiversity exploratories regions; regions abstract; exploratories regions; coordinates; derived; original; experiment fox plots
FOREST MENSURATION,FOREST MENSURATION,10,forest inventory; biomass grassland; inventory; index; measurement; title forest inventory; forest; title forest; biomass; plots title; repeated; deadwood
SEDIMENTS,SEDIMENTS,10,decomposition; decomposition rate; mammals; cadaver; rate; dead; land use intensity; use intensity; days; traps; fieldwork; arthropod
PHOSPHORUS,PHOSPHORUS,10,phosphorus; soil; ha-1; land-use; median; partitioning; intensity; fractions; mineral; fluxes; precipitation; rna
FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,10,traps; sampling dates; dates; title beech exclusion; beech exclusion; title beech; abstract waldinventur; arthropod; waldinventur; exclusion; trees; abstract contains
FERTILIZERS,FERTILIZERS,9,seedling; fertilization; litter; grassland species; fertilization experiment; fertilizer; experiment; cover; vegetation; species; title fertilization; lanceolata
PROTISTS,PROTISTS,9,protists; pathogens; illumina sequencing; vips; taxonomic functional; soil title; proportion; taxonomic; diversity; free-living; phylum; parasites
PLANT PHENOLOGY,PLANT PHENOLOGY,9,phenology; variation; herbs; evolution; change; flowering; pflanzen; iii; global change; understory; climate; plants
LAND SURFACE MODELS,LAND SURFACE MODELS,9,images; landscape; vehicles; unmanned aerial vehicles; aerial vehicles; unmanned; unmanned aerial; schätzung; aerial; surrounding; metrics; dendrometer
METAGENOME ASSEMBLED GENOMES (MAGs),METAGENOME ASSEMBLED GENOMES (MAGs),9,resistance; genome; genome sequence; selected; genes; bacteria; sequence; decomposition; variety; soil; gene; nematodes
FLAGELLATES,FLAGELLATES,9,plantago; parasitoid; fertilization experiment; beetles; lanceolata; plantago lanceolata; vegetation structure; fertilization; incidence; title abundance; abundance; surrounding
AMMONIA,AMMONIA,8,nitrate; ammonium; nitrification; denitrification; ph-wert; influenced; abundanz; beeinflusst; type; alpha beta; soil; rrna
FUNGI,FUNGI,8,fungal; fungal diversity; soil fungi; diversity community composition; fungi; diversity community; soil; otu; living; diversity; soil sampling; plants
REPTILES,REPTILES,8,dung beetles; dung; beetles; traps; small; cattle; small mammals; live; mammal; mammals; species list; emergence
MICROFAUNA,MICROFAUNA,8,collembola; rhizosphere; soil; plant functional; predation; yeasts; diversität; bacteria; fertilizer; nematodes; filamentous; fungi
TEMPERATE CONIFEROUS FOREST,TEMPERATE CONIFEROUS FOREST,8,chemical; traits; root-associated; abstract objective; fine; dead wood; fungal community; objective; temperate forests; dead; fine roots; spp
BROWN ALGAE,BROWN ALGAE,8,epichloë; nov; phyllosphere; strains; c16; c18; strain; isoliert; festuca; isolated; isolates; sequence
TOPOGRAPHIC EFFECTS,TOPOGRAPHIC EFFECTS,7,metrics; height; patch; index; landscape; leaf; density; estimation; decomposition rate; taraxacum; land; grazing
OXYGEN ISOTOPE ANALYSIS,OXYGEN ISOTOPE ANALYSIS,7,isotopic; forest gap; inorganic; fox plots; core project soil; organic; ökologisch; project soil; conventional; fox; phosphorus; samples
FORESTS,FORESTS,7,forest eps; crown projection area; projection area; crown projection; area; projection; basal area; composition forest; crown; basal; understory; describes
ENVIRONMENTAL ASSESSMENTS,ENVIRONMENTAL ASSESSMENTS,7,restoration; measures; goals; ecological; measure; indicators; synthesis; assigned; attributes; success; landscape structure; per
LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,7,information; abstract information; title grassland; updated; fieldwork; farmers; surroundings; observations; members; land; given; file
